Category,Supplier,postcode ,ContactNum,Website,Email,Public,HygieneRating,lat,long
Protein,Asda online & store,LS11 5AD,,https://groceries.asda.com,,Previous,5,53.792054,-1.544952
Protein,JW Young,S9 3WG,0114 243 1131,https://jwyoungbutchers.wordpress.com,,Previous,5,53.393798,-1.433418
Protein,Tugo Food Systems,OX17 3SN,01295 367351,https://tugo.co.uk/,,Previous,5,52.012261,-1.291538
Protein,Chicken Joes,WS9 8UR,01922 745 818,https://www.lovejoes.co.uk/,sales@lovejoes.co.uk,Previous,5,52.616031,-1.93113
Protein,Owen Taylor & Sons Ltd Butchers,DE55 1LA,01773 603351,https://www.owentaylor.co.uk/contact-us/,salesorders@owentaylor.co.uk,Previous,5,53.076842,-1.373101
Protein,Underwood Meat Company,S60 1RU,01709 789100,https://www.underwoodmeat.co.uk/,sales.umcsouth@underwoodmeat.co.uk,Previous,5,53.43556,-1.355613
Ready to eat meals,Apetito,BA14 8RJ,01225753636,http://www.apetito.co.uk/,,Previous,5,51.329482,-2.204903
Ready to eat meals,Pasta King ,TQ12 4SG,0800 458 7898  ,https://www.pastaking.co.uk/enquire/,enquiries@pastaking.co.uk,Previous,5,50.523234,-3.575154
Ready to eat meals,Sandwich king,LS7 1RF,0113 242 6031,https://www.sandwichkinguk.com/contact-8,enquiries@sandwichkinguk.com,Previous,5,53.80815,-1.531115
Ready to eat meals,E-Foods,B45 9PZ,,,,Previous,5,52.39778,-2.010206
Specialist diet supplies,Apetito,BA14 8RJ,01225753636,http://www.apetito.co.uk/,,Previous,5,51.329482,-2.204903
Waste,Refood UK,DN5 9TL,0800 011 3214,https://refood.co.uk,,Previous,5,53.533703,-1.137967
Waste,Veolia,S4 7ZJ,0114 228 3550,sheffield.veolia.co.uk,,Previous,5,53.387066,-1.445144
Fresh fruit and veg,A J Webb & Son (Sheffield) Ltd,S9 4WN,0114 241 7500,https://www.ajwebb.co.uk/contactus.html,sales@ajwebb.co.uk,Previous,5,53.385142,-1.420332
Drink,A.G. Barr plc,G68 9HD,,https://www.agbarr.co.uk/contact-us/,consumercare@agbarr.co.uk,Previous,5,55.928737,-4.058446
Drink,Abbeydale brewery,S8 0YX,0114 281 2712,https://www.abbeydalebrewery.co.uk/,social@abbeydalebrewery.co.uk,Previous,5,53.360659,-1.477238
Drink,Acorn Brewery,S73 8HA,01226 270734,https://acorn-brewery.co.uk/,,Previous,5,53.533241,-1.413575
Catering Supplies,Foundation Packaging,DN2 4SQ,01302 326513,https://foundationpackaging.co.uk/contact/,,Previous,5,53.543262,-1.079491
Catering Supplies,All Purpose,LE14 3HQ,01664 566599,https://allpurposeltd.co.uk/,,Previous,5,52.801278,-0.949744
Catering Supplies,Alliance,LS27 7JZ,0844 844 4300,https://www.alliancenational.co.uk/contact-us.html,response@​alliancenational.co.uk,Previous,5,53.74915,-1.627212
Protein,Amos Kaye & Son,S36 4TG,01226 763 134,,,Previous,5,53.52229,-1.749402
Protein,Andrew's Butchers Rotherham,S65 1AL,07946 675359,https://www.andrewsbutchery.co.uk/contact-andrews-butchers-rotherham.html,info@andrewsbutchery.co.uk,Previous,5,53.432985,-1.354824
Drink,Batch Tea,S11 7RH,07899 645 482,https://batchtea.co.uk/contact/,hello@batchtea.co.uk,Previous,5,53.355946,-1.530736
Fresh fruit and veg,Belvoir Fruit Farms Limited,NG13 0DH,01476 870286,https://www.belvoirfarm.co.uk/,,Previous,5,52.928595,-0.815609
Drink,Cafeology Ltd,S9 1DA,0114 255 8007,https://cafeology.com/,,Previous,5,53.416839,-1.399124
Protein,Casa Gomez,S21 4HG,07549 034563,https://www.chorizoscasagomez.com/contact,chorizosgomez@btinternet.com,Previous,5,53.30845,-1.375898
Bakery,CAWA Bakery Ltd,S9 1BG,0114 243 9566,https://www.cawabakery.com/,sales@cawabakery.com,Previous,5,53.418513,-1.396001
Ready to eat meals,Chilled Food Company,WF2 9LP,01924 880380,,,Previous,5,53.686477,-1.539976
Bakery,Chocolatey Claire Cakes,S75 2QB,07887 852611,https://www.instagram.com/chocolateyclairecakes/,,Previous,5,53.560152,-1.498545
Catering Supplies,Coptrin,WF2 7AL,01924 298844,https://coptrin.co.uk/contact/,sales@coptrin.co.uk,Previous,5,53.665387,-1.509467
Bakery,Coultons/Happy Bread,BD4 6HQ,0800 0345 110,https://happybread.co.uk/,info@happybread.co.uk,Previous,5,53.770309,-1.723715
Catering Supplies,Creed Food Service,GL52 6TQ,0115 944 1928,https://www.creedfoodservice.co.uk/,askcreed@creedfoodservice.co.uk,Previous,5,51.899125,-2.054149
Dairy and milk products,Cryer & Stott,WF10 2BP,01977 599744,https://cryerandstott.co.uk/contact-us/,nutwoodcheese@hotmail.co.uk,Previous,5,53.743718,-1.365314
Protein,D and E Wholesale Ltd (LSA Meats),S9 3JL,07920 107311,,Rachelallsop@dandewholesale.co.uk,Previous,5,53.389446,-1.434964
Bakery,Delice De France,UB2 5LJ,020 8917 9600,https://delicedefrance.co.uk/contact-us-page,,Previous,5,51.502041,-0.400672
Ready to eat meals,Derbyshire Pie Company,S43 3BF,01246 927502,,orders@derbyshirepies.co.uk,Previous,5,53.275166,-1.350617
Protein,Direct Seafoods,N1C 4PD,01206 584 790,https://www.directseafoods.co.uk/contact/,sales@directseafoods.co.uk,Previous,5,51.540387,-0.130686
Bakery,Dough boy,S1 4GE,,https://www.wearedoughboy.com/pages/contact-us,,Previous,5,53.379722,-1.474914
Frozen foods,Dunsters Farms Ltd,BL9 7BR,0161 763 7900,https://dunstersfarm.com/contact-us/,info@dunstersfarm.com,Previous,5,53.58927,-2.275376
Drink,Frazer's Coffee,S3 8DD,07885 445315,https://www.frazerscoffeeroasters.co.uk/,,Previous,5,53.392296,-1.47258
Dairy and milk products,Fine Cheeses (Michael Lee),WF7 6FE,01977 703061,https://www.finecheesesltd.co.uk/,info@finecheesesltd.co.uk,Previous,5,53.68034,-1.370173
Catering Supplies,First Choice Catering Spares Ltd,WS11 8LD,01543 577 778,https://www.partstown.co.uk/,,Previous,5,52.671246,-2.002997
Ready to eat meals,Fresh Food for Now Company,Pl17 7XG,0116 236 1640,https://www.foodfornow.co.uk/contact-us/,hello@foodfornow.co.uk,Previous,5,50.497471,-4.316681
Dairy and milk products,Freshways,M12 6LL,0208 746 2046,https://www.freshways.co.uk/contact/,info@freshways.co.uk,Previous,5,53.474869,-2.210766
Protein,Hebdige Butchers,S9 1GB,0114 272 2915,https://www.hebdigebutchers.co.uk/,,Previous,5,53.417301,-1.417999
Ready to eat meals,Hedgerow Preserving Company,S7 2BQ,07966 501 975,https://hedgerowpreserves.com/contact,simon@hedgerowpreserves.com,Previous,5,53.35461,-1.487903
Specialist diet supplies,Hodmedods,NR34 8DQ,01986 467567,https://hodmedods.co.uk/,hello@hodmedods.co.uk,Previous,5,52.390656,1.577459
Frozen foods,Holdsworth Food Service,S44 5FB,01298 871435,https://www.holdsworthfoods.co.uk/,info@holdsworth-foods.co.uk,Previous,5,53.237015,-1.331043
Frozen foods,Hopwells,S13 9NP,0114 254 8999,https://www.hopwells.com/contact-us,info@hopwells.com,Previous,5,53.370866,-1.368493
Fresh fruit and veg,John Palins Wholesale,DE4 5ND,01629 592411,https://john-palin.co.uk/contact-us/,freshproduce@john-palin.co.uk,Previous,5,53.134098,-1.525531
Ready to eat meals,Jones Pies,HD1 3RR,01484 548137,https://www.jonespies.co.uk/,accounts@jonespies.co.uk,Previous,5,53.63812,-1.784879
Specialist diet supplies,Keylink,S25 3AF,0114 245 5400,https://www.keylink.org/contact-keylink,,Previous,5,53.370367,-1.231055
Fresh fruit and veg,Strawberry Catering,M11 2NB,0161 503 0577,,orders@strawberrycatering.co.uk,None,5,53.472178,-2.181633
Ready to eat meals,King Asia Foods,DN4 5JJ,01302 760070,https://www.kingasia.co.uk/,,Previous,5,53.511401,-1.125511
Specialist diet supplies,Lembas,S8 9QR,0114 258 6056,https://lembas.co.uk/home/aboutus,sales@lembas.co.uk,Previous,5,53.358394,-1.475387
Drink,Libra Drinks Wholesale Ltd,NG7 2NN,0115 985 0850,https://www.libradrinks.co.uk/contact-us,sales@libradrinks.co.uk,Previous,5,52.936978,-1.170521
Drink,Life Water,BN41 1DH,,https://www.life-water.co.uk/pages/contact,shop@life-water.co.uk,Previous,5,50.830798,-0.211204
Ready to eat meals,Yorkshire Crisps,S26 5PY,01909 774411,https://yorkshirecrisps.co.uk/contact-us/,headfryer@yorkshirecrisps.co.uk,Previous,5,53.349477,-1.298235
Drink,LWC Drinks,M11 2DN,0161 438 4088,https://www.lwc-drinks.co.uk/,manchester@lwc-drinks.co.uk,Previous,5,53.477308,-2.181458
Protein,M&J Seafood,WN4 8DE,0344 800 4545,https://www.mjseafood.com/,enquiries@mjseafoods.co.uk,Previous,5,53.500752,-2.633734
Protein,Maloneys,NG20 0PB,01623 844137,,,Previous,5,53.205616,-1.15163
Drink,Matthew Clark,PA4 9LU,0844 822 3901,https://www.matthewclark.co.uk/,,Previous,5,55.875825,-4.462942
Bakery,Meadows Bakery,S13 9NR,0114 269 9261,https://meadowsbakeryltd.co.uk/,meadowsbakery@meadowsbakeryltd.co.uk,Previous,5,53.370518,-1.365643
Protein,Moss Valley Fine Meats,S8 8BG,0114 2399922,https://www.mossvalleyfinemeats.co.uk/contact,srt@mossvalleyfinemeats.co.uk,Previous,5,53.333016,-1.435213
Specialist diet supplies,MSK Ingredients Ltd,S41 9RX,01246 412211,https://msk-ingredients.com/,,Previous,5,53.268886,-1.444021
Ready to eat meals,Nh Case,DN31 3HB,01472 251442,http://www.nhcase.com/,sales@nhcase.com,Previous,5,53.575572,-0.070198
Ready to eat meals,Wateralls - Pork Pies,S3 8BT,0114 272 2933,https://waterall.co.uk/,WATERALLBROS@GMAIL.COM,Previous,5,53.391881,-1.476224
Catering Supplies,Nutripack,CV11 6GY,024 7635 1300,https://nutripack.eu/en/contact/,contact.uk@nutripack.eu,Previous,5,52.522448,-1.442213
Bakery,Perfectionery,S11 8ZE,0114 266 1632,,perfectionerybakers@gmail.com,Previous,5,53.36751,-1.496556
Protein,Pilgrim,PE21 7SJ,01205 312700,https://www.pilgrimfoods.co.uk/contactus,buying@pilgrimfoods.co.uk,Previous,5,52.961391,-0.014163
Bakery,Potts,S70 3PG,01226 249175,https://www.pottsbakers.co.uk/,sales@pottsbakers.co.uk,Previous,5,53.545358,-1.44184
Drink,Premium Beverages,S60 1RU,,http://www.premiumbeverages.co.uk/,martin@premiumbeverages.co.uk,Previous,5,53.43556,-1.355613
Drink,Purity Brewing Co Ltd,B49 6JF,01789 488007,https://puritybrewing.com/contact-us/,info@puritybrewing.com,Previous,5,52.256038,-1.851412
Bakery,Queensland Bakery,SP10 5AN,023 8026 9926,https://www.queenslandbakery.com/,,Previous,5,51.216434,-1.452492
Fresh fruit and veg,Regather,S11 8BU,0114 2731258,https://regather.net/,,Previous,5,53.370364,-1.478741
Bakery,Roberts Bakery,DE7 8EF,,https://www.robertsbakery.co.uk/get-in-touch/,,Previous,5,52.97687,-1.319932
Catering Supplies,Russums,S60 1LB,01709 372345,https://www.russums-shop.co.uk/contactus,info@russums.co.uk,Previous,5,53.434906,-1.365845
Ready to eat meals,Sandwich King,LS7 1RF,0113 242 6031,https://www.sandwichkinguk.com/,ENQUIRIES@SANDWICHKINGUK.COM,Previous,5,53.80815,-1.531115
Ready to eat meals,Seabrooks,BD8 9AJ,,https://www.seabrookcrisps.com/,info@seabrookcrisps.com,Previous,5,53.796659,-1.780672
Catering Supplies,Sheffield Catering Supplies,S3 8DG,0114 275 1991,https://sheffieldcatering.co.uk/contact/,info@sheffieldcatering.co.uk,Previous,5,53.392416,-1.47945
Bakery,Shepcote,YO25 9FR,01377 252537,https://www.shepcote.co.uk/,orders@shepcote.com,Previous,5,54.001077,-0.465223
Bakery,Simpkins,S6 4LD,0114 2348736,https://alsimpkin.com/contact/,sales@alsimpkin.com,Previous,5,53.403253,-1.504107
Drink,StarmoreBoss,S11 8ZE,0114 4534087,https://www.starmoreboss.co.uk/,,Previous,5,53.36751,-1.496556
Ready to eat meals,The Street Food Company,SW4 0AF,,https://www.discoverstreetfood.com/,,Previous,5,51.463616,-0.140329
Drink,The Thornbridge Brewery,DE45 1GS,01629 815 999,https://thornbridgebrewery.co.uk/pages/contact-us,onlineshop@thornbridge.co.uk,Previous,5,53.21796,-1.683997
Protein,Theos,WS9 8UY,01922 472422,https://www.theos-uk.com/,info@theos-uk.com,Previous,5,52.616481,-1.932001
Ready to eat meals,Tiffin- Sandwich company based in Bradford,BD4 6SF,01274 494939,https://www.tiffinsandwiches.co.uk/,info@tiffinsandwiches.co.uk,Previous,5,53.752806,-1.742544
Catering Supplies,Total Foodservice,HD5 9XX,01484 536 688,https://www.totalfoodservice.co.uk/,enquiries@totalfoodservice.co.uk,Previous,5,53.646258,-1.742695
Bakery,Town & Country Fine Foods,SL1 4XX,0345 672 8000,https://www.tcfinefoods.co.uk/,orders@tcfinefoods.co.uk,Previous,5,51.524952,-0.620961
Ready to eat meals,Vegetarian Express Ltd,WD24 7RY,01923 249714,https://vegetarianexpress.co.uk/,sales@vegexp.co.uk,Previous,5,51.678451,-0.390363
Fresh fruit and veg,Pilgrim,PE21 7SJ,01205 312700,https://www.pilgrimfoods.co.uk/contactus,buying@pilgrimfoods.co.uk,Previous,5,53.391881,-1.476224
Ready to eat meals,Pilgrim,PE21 7SJ,01205 312700,https://www.pilgrimfoods.co.uk/contactus,buying@pilgrimfoods.co.uk,Previous,5,52.961391,-0.014163
